query_id,dependency_group,table_name,column_name,expected_udt_name,actual_udt_name,column_exists,type_matches
14-contract-compatibility-summary,baseline,legal_documents,content,text,text,true,true
14-contract-compatibility-summary,baseline,legal_documents,content_hash,text,text,true,true
14-contract-compatibility-summary,baseline,legal_documents,created_at,timestamptz,timestamptz,true,true
14-contract-compatibility-summary,baseline,legal_documents,document_type,text,text,true,true
14-contract-compatibility-summary,baseline,legal_documents,effective_at,timestamptz,timestamptz,true,true
14-contract-compatibility-summary,baseline,legal_documents,id,uuid,uuid,true,true
14-contract-compatibility-summary,baseline,legal_documents,publish_reason,text,text,true,true
14-contract-compatibility-summary,baseline,legal_documents,published_at,timestamptz,timestamptz,true,true
14-contract-compatibility-summary,baseline,legal_documents,published_by,uuid,uuid,true,true
14-contract-compatibility-summary,baseline,legal_documents,status,text,text,true,true
14-contract-compatibility-summary,baseline,legal_documents,title,text,text,true,true
14-contract-compatibility-summary,baseline,legal_documents,updated_at,timestamptz,timestamptz,true,true
14-contract-compatibility-summary,baseline,legal_documents,version,text,text,true,true
14-contract-compatibility-summary,baseline_dependency,orders,id,uuid,uuid,true,true
14-contract-compatibility-summary,baseline_dependency,profiles,id,uuid,uuid,true,true
14-contract-compatibility-summary,baseline_dependency,profiles,role,text,text,true,true
14-contract-compatibility-summary,enhanced_api_only,legal_documents,archived_at,timestamptz,null,false,null
14-contract-compatibility-summary,enhanced_api_only,legal_documents,archived_by,uuid,null,false,null
14-contract-compatibility-summary,enhanced_api_only,legal_documents,is_current,bool,null,false,null
14-contract-compatibility-summary,order_evidence,order_agreement_acceptances,content_hash,text,text,true,true
14-contract-compatibility-summary,order_evidence,order_agreement_acceptances,document_type,text,text,true,true
14-contract-compatibility-summary,order_evidence,order_agreement_acceptances,document_version,text,text,true,true
14-contract-compatibility-summary,order_evidence,order_agreement_acceptances,document_version_id,uuid,uuid,true,true
14-contract-compatibility-summary,order_evidence,order_agreement_acceptances,order_id,uuid,uuid,true,true
14-contract-compatibility-summary,order_evidence,order_agreement_acceptances,user_id,uuid,uuid,true,true
14-contract-compatibility-summary,order_evidence,order_evidence_events,metadata,jsonb,jsonb,true,true
14-contract-compatibility-summary,order_evidence,order_evidence_events,order_id,uuid,uuid,true,true